datasetSpeciesName,acceptedName,namingAuthority
Didymodon rigidulus v. gracilis,Didymodon rigidulus var. gracilis (Schleich. ex Hook. & Grev.) R.H. Zander,Flora of North America
Didymodon rigidulus v. icmadophilus,Didymodon rigidulus var. icmadophilus (Schimp. ex Müll. Hal.) R.H. Zander,Flora of North America
Distichium species,Distichium Bruch & Schimp.,Flora of North America
Distichium sp.,Distichium Bruch & Schimp.,Flora of North America
Distichium capillaceum,Distichium capillaceum (Hedw.) Bruch & Schimp.,Flora of North America
Distichium inclinatum,Distichium inclinatum (Hedw.) Bruch & Schimp.,Flora of North America
Ditrichum species,Ditrichum Hampe,Flora of North America
Ditrichum,Ditrichum Hampe,Flora of North America
Drepanocladus species,Drepanocladus (Müll. Hal.) G. Roth,Flora of North America
Drepanocladus sp.,Drepanocladus (Müll. Hal.) G. Roth,Flora of North America
Drepanocladus,Drepanocladus (Müll. Hal.) G. Roth,Flora of North America
Drepanocladus aduncus,Drepanocladus aduncus (Hedw.) Warnst.,Flora of North America
Campylium stellatum v. arcticum,Drepanocladus arcticus (R.S. Williams) Hedenäs,Flora of North America
Campylium arcticum,Drepanocladus arcticus (R.S. Williams) Hedenäs,Flora of North America
Drepanocladus arcticus,Drepanocladus arcticus (R.S. Williams) Hedenäs,Flora of North America
Drepanocladus sendtneri,Drepanocladus latinervis Warnst.,Flora of North America
Drepanocladus capillifolius,Drepanocladus longifolius (Wilson ex Mitt.) Broth. ex Paris,Flora of North America
Campylium polygamum,Drepanocladus polygamus (Schimp.) Hedenäs,Flora of North America
Drepanocladus (Campylium) polygamus,Drepanocladus polygamus (Schimp.) Hedenäs,Flora of North America
Drepanocladus (Campylium) polygamum,Drepanocladus polygamus (Schimp.) Hedenäs,Flora of North America
Drepanocladus (Campylium) pligamus,Drepanocladus polygamus (Schimp.) Hedenäs,Flora of North America
Helodium blandowii,Elodium blandowii (F. Weber & D. Mohr) Eckel,Flora of North America
Encalypta alpina,Encalypta alpina Sm.,Flora of North America
Encalypta brevicollis,Encalypta brevicollis (Bruch & Schimp.) Åong.,Flora of North America
Encalypta species,Encalypta Hedw.,Flora of North America
Encalypta,Encalypta Hedw.,Flora of North America
Encalypta longicolla,Encalypta longicollis Bruch,Flora of North America
Encalypta mutica,Encalypta mutica I. Hagen,Flora of North America
Encalypta procera,Encalypta procera Bruch,Flora of North America
Encalypta rhaptocarpa,Encalypta rhaptocarpa Schwägr.,Flora of North America
Entodon concinnus,Entodon concinnus (De Not.) Paris,Flora of North America
Eurhynchium pulchellum,Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen,Flora of North America
Eurhynchiastrum pulchellum,Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen,Flora of North America
Fissidens adianthoides,Fissidens adianthoides Hedw.,Flora of North America
Fissidens arcticus,Fissidens arcticus Bryhn,Flora of North America
Fissidens bryoides,Fissidens bryoides Hedw.,Flora of North America
Fissidens species,Fissidens Hedw.,Flora of North America
Fissidens osmundoides,Fissidens osmundioides Hedw.,Flora of North America
Funaria arctica,Funaria arctica (Berggr.) Kindb.,Flora of North America
Bryum caespiticium,Gemmabryum caespiticium (Hedw.) J.R. Spence,Flora of North America
Grimmia species,Grimmia Hedw.,Flora of North America
Grimmia affinis,Grimmia longirostris Hook.,Flora of North America
Hamatocaulis lapponicus,Hamatocaulis lapponicus (Norrl.) Hedenäs,Flora of North America
Hamatocaulis vernicosus,Hamatocaulis vernicosus (Mitt.) Hedenäs,Flora of North America
Hennediella heimii,Hennediella heimii Hedw.,Flora of North America
Hennediella heimii v. arctica,Hennediella heimii var. arctica (Lindb.) R.H. Zander,Flora of North America
Homalothecium species,Homalothecium Schimp.,Flora of North America
Amblystegium varium,Hygroamblystegium varium (Hedw.) Mönk.,Flora of North America
Hygrohypnum alpestre,Hygrohypnum alpestre (Hedw.) Loeske,Flora of North America
Hygrohypnum luridum,Hygrohypnum luridum (Hedw.) Jenn.,Flora of North America
Hygrohypnum polare,Hygrohypnum polare (Lindb.) Loeske,Flora of North America
Hylocomiastrum pyrenaicum,Hylocomiastrum pyrenaicum (Spruce) Fleisch.,Flora of North America
Hylocomium splendens,Hylocomium splendens (Hedw.) Schimp.,Flora of North America
Hylocomium splendens v. obtusifolium,Hylocomium splendens (Hedw.) Schimp.,Flora of North America
Hypnum bambergeri,Hypnum bambergeri Schimp.,Flora of North America
Stereodon (Hypnum) bambergeri,Hypnum bambergeri Schimp.,Flora of North America
Hypnum callichroum,Hypnum callichroum Funck ex Brid.,Flora of North America
Hypnum cupressiforme,Hypnum cupressiforme Hedw.,Flora of North America
Hypnum dieckii,Hypnum dieckei Renauld & Cardot,Flora of North America
Hypnum hamulosum,Hypnum hamulosum Schimp.,Flora of North America
Hypnum species,Hypnum Hedw.,Flora of North America
Hypnum lindbergii,Hypnum lindbergii Mitt.,Flora of North America
Hypnum plicatulum,Hypnum plicatulum (Lindb.) A. Jaeger,Flora of North America
Stereodon plicatulus,Hypnum plicatulum (Lindb.) A. Jaeger,Flora of North America
Hypnum pratense,Hypnum pratense Koch ex Spruce,Flora of North America
Hypnum subimponens,Hypnum subimponens Lesq.,Flora of North America
Isopterygiopsis muelleriana,Isopterygiopsis muelleriana (Schimp.) Z. Iwats.,Flora of North America
Isopterygiopsis pulchella,Isopterygiopsis pulchella (Hedw.) Z. Iwats.,Flora of North America
Kiaeria blyttii,Kiaeria blyttii (Bruch & Schimp.) Broth.,Flora of North America
Kiaeria glacialis,Kiaeria glacialis (Berggr.) I. Hagen,Flora of North America
Kiaeria starkei,Kiaeria starkei (F. Weber & D. Mohr) I. Hagen,Flora of North America
Leptobryum pyriforme,Leptobryum pyriforme (Hedw.) Wilson,Flora of North America
Loeskypnum badium,Loeskypnum badium (Hartm.) Paul,Flora of North America
Loeskypnum (Drepanocladus) badium,Loeskypnum badium (Hartm.) Paul,Flora of North America
Lyellia aspera,Lyellia aspera (I. Hagen & C.E.O. Jensen) Frye,Flora of North America
Meesia species,Meesia Hedw.,Flora of North America
Meesia sp.,Meesia Hedw.,Flora of North America
Meesia longiseta,Meesia longiseta Hedw.,Flora of North America
Meesia triquetra,Meesia triquetra (L. ex Jolycl.) Ångstr.,Flora of North America
Meesia uliginosa,Meesia uliginosa Hedw.,Flora of North America
Mnium blyttii,Mnium blyttii Bruch & Schimp.,Flora of North America
Mnium species,Mnium Hedw.,Flora of North America
Mnium marginatum,Mnium marginatum (With.) Brid. ex P. Beauv.,Flora of North America
Mnium spinosum,Mnium spinosum (Voit) Schwägr.,Flora of North America
Mnium spinulosum,Mnium spinulosum Bruch & Schimp.,Flora of North America
Mnium thomsonii,Mnium thomsonii Schimp.,Flora of North America
Myurella julacea,Myurella julacea (Schwägr.) Schimp.,Flora of North America
Myurella sibirica,Myurella sibirica (Müll. Hal.) Reim.,Flora of North America
Myurella tenerrima,Myurella tenerrima (Brid.) Lindb.,Flora of North America
Oligotrichum falcatum,Oligotrichum falcatum Steere,Flora of North America
Oligotrichum hercynicum,Oligotrichum hercynicum (Hedw.) Lam. & DC.,Flora of North America
Oligotrichum parallelum,Oligotrichum parallelum (Mitt.) Kindb.,Flora of North America
Oncophorus virens,Oncophorus virens (Hedw.) Brid.,Flora of North America
Oncophorus wahlenbergii,Oncophorus wahlenbergii Brid.,Flora of North America
Oncopharus elongatus,Oncophorus wahlenbergii Brid.,Flora of North America
Orthothecium chryseum,Orthothecium chryseum (Schwägr.) Schimp.,Flora of North America
Orthothecium chryseon,Orthothecium chryseum (Schwägr.) Schimp.,Flora of North America
Orthothecium species,Orthothecium Schimp.,Flora of North America
Orthothecium strictum,Orthothecium strictum Lor.,Flora of North America
Paludella squarrosa,Paludella squarrosa (Hedw.) Brid.,Flora of North America
Philonotis species,Philonotis Brid.,Flora of North America
Philonotis fontana,Philonotis fontana (Hedw.) Brid.,Flora of North America
Philonotis fontana v. caespitosa,Philonotis fontana var. fontana (Hedw.) Brid.,Flora of North America
Plagiobryum demissum,Plagiobryum demissum (Hook.) Lindb.,Flora of North America
Plagiomnium ellipticum,Plagiomnium ellipticum (Brid.) T.J. Kop.,Flora of North America
Plagiomnium cf ellipticum,Plagiomnium ellipticum (Brid.) T.J. Kop.,Flora of North America
Plagiomnium insigne,Plagiomnium insigne (Mitt.) T.J. Kop.,Flora of North America
Plagiomnium medium,Plagiomnium medium (Bruch & Schimp.) T.J. Kop.,Flora of North America
Plagiomnium species,Plagiomnium T.J. Kop.,Flora of North America
Plagiomnium sp.,Plagiomnium T.J. Kop.,Flora of North America
Plagiomnium,Plagiomnium T.J. Kop.,Flora of North America
Plagiopus oederiana,Plagiopus oederianus (Sw.) H.A. Crum & L.E. Anderson,Flora of North America
Plagiothecium berggrenianum,Plagiothecium berggrenianum Frisvoll,Flora of North America
Plagiothecium cavifolium,Plagiothecium cavifolium (Brid.) Z. Iwats.,Flora of North America
Plagiothecium denticulatum,Plagiothecium denticulatum (Hedw.) Schimp.,Flora of North America
Plagiothecium laetum,Plagiothecium laetum Schimp.,Flora of North America
Platydictya jungermannioides,Platydictya jungermannioides (Brid.) H.A. Crum,Flora of North America
Pleurozium schreberi,Pleurozium schreberi (Willd. ex Brid.) Mitt.,Flora of North America
Pogonatum dentatum,Pogonatum dentatum (Brid.) Brid.,Flora of North America
Pogonatum species,Pogonatum P. Beauv.,Flora of North America
Pogonatum urnigerum,Pogonatum urnigerum (Hedw.) P. Beauv.,Flora of North America
Pohlia andrewsii,Pohlia andrewsii Shaw,Flora of North America
Pohlia beringiensis,Pohlia beringiensis Shaw,Flora of North America
Pohlia bulbifera,Pohlia bulbifera (Warnst.) Warnst.,Flora of North America
Pohlia cruda,Pohlia cruda (Hedw.) Lindb.,Flora of North America
Pohlia crudoides,Pohlia crudoides (Sull. & Lesq.) Broth.,Flora of North America
Pohlia drummondii,Pohlia drummondii (Müll. Hal.) Andrews,Flora of North America
Pohlia elongata,Pohlia elongata Hedw.,Flora of North America
Pohlia species,Pohlia Hedw.,Flora of North America
Pohlia sp.,Pohlia Hedw.,Flora of North America
Pohlia,Pohlia Hedw.,Flora of North America
Pohlia nutans,Pohlia nutans (Hedw.) Lindb.,Flora of North America
Pohlia wahlenbergii,Pohlia wahlenbergii (F. Weber & D. Mohr) Andrews,Flora of North America
Polytrichastrum alpinum,Polytrichastrum alpinum (Hedw.) G.L. Sm.,Flora of North America
Polytrichastrum alpinum v. fragile,Polytrichastrum alpinum var. fragile (Bryhn) D.G. Long,Flora of North America
Polytrichastrum alpinum var. fragile,Polytrichastrum alpinum var. fragile (Bryhn) D.G. Long,Flora of North America
Polytrichum formosum,Polytrichastrum formosum (Hedw.) G.L. Sm.,Flora of North America
Polytrichum longisetum,Polytrichastrum longisetum (Brid.) G.L. Sm.,Flora of North America
Polytrichastrum longisetum,Polytrichastrum longisetum (Brid.) G.L. Sm.,Flora of North America
Politrichastrum longisetum,Polytrichastrum longisetum (Brid.) G.L. Sm.,Flora of North America
Polytrichum sexangulare,Polytrichastrum sexangulare (Brid.) G.L. Sm.,Flora of North America
Polytrichum commune,Polytrichum commune Hedw.,Flora of North America
Polytrichum species,Polytrichum Hedw.,Flora of North America
Polytrichum sp.,Polytrichum Hedw.,Flora of North America
Polytrichum,Polytrichum Hedw.,Flora of North America
Polytrichum hyperboreum,Polytrichum hyperboreum R. Br.,Flora of North America
Polytrichum commune v. jensenii,Polytrichum jensenii I. Hagen,Flora of North America
Polytrichum jensenii,Polytrichum jensenii I. Hagen,Flora of North America
Polytrichum juniperinum,Polytrichum juniperinum Hedw.,Flora of North America
Polytrichum piliferum,Polytrichum piliferum Hedw.,Flora of North America
Polytrichum strictum,Polytrichum strictum Brid.,Flora of North America
Polytrichum swartzii,Polytrichum swartzii Hartm.,Flora of North America
Pseudobryum cinclidioides,Pseudobryum cinclidioides (Hübener) T.J. Kop.,Flora of North America
Pseudocalliergon species,Pseudocalliergon (Limpr.) Loeske,Flora of North America
Drepanocladus brevifolius,Pseudocalliergon brevifolium (Lindb.) Hedenäs,Flora of North America
Pseudocalliergon brevifolium,Pseudocalliergon brevifolium (Lindb.) Hedenäs,Flora of North America
Calliergon trifarium,Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske,Flora of North America
Pseudocalliergon trifarium,Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske,Flora of North America
Pseudocalliergon (Calliergon) trifarium,Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske,Flora of North America
Pseudocalliergon turgescens,Pseudocalliergon turgescens (T. Jensen) Loeske,Flora of North America
Pseudoleskea baileyi,Pseudoleskea baileyi Best & Grout,Flora of North America
Pseudoleskea stenophylla,Pseudoleskea stenophylla Renauld & Cardot,Flora of North America
Pseudoleskeella tectorum,Pseudoleskeella tectorum (Funck ex Brid.) Kindb.,Flora of North America
Psilopilum cavifolium,Psilopilum cavifolium (Wilson) I. Hagen,Flora of North America
Psilopilum laevigatum,Psilopilum laevigatum (Wahlenb.) Lindb.,Flora of North America
Pterygoneurum ovatum,Pterygoneurum ovatum (Hedw.) Dixon,Flora of North America
Ptilium crista-castrensis,Ptilium crista-castrensis (Hedw.) De Not.,Flora of North America
Ptilidium species,Ptilium De Not.,Flora of North America
Bryum arcticum,Ptychostomum arcticum (R. Br.) J.R. Spence,Flora of North America
Bryum lisae v. cuspidatum,Ptychostomum creberrimum (Taylor) J.R. Spence & H.P. Ramsay,Flora of North America
Bryum cyclophyllum,Ptychostomum cyclophyllum (Schwägr.) J.R. Spence,Flora of North America
Ptychostomum cyclophyllum,Ptychostomum cyclophyllum (Schwägr.) J.R. Spence,Flora of North America
Bryum imbricatum,Ptychostomum inclinatum (Sw. ex Brid.) J.R. Spence,Flora of North America
Bryum knowltonii,Ptychostomum knowltonii (Barnes) J.R. Spence,Flora of North America
Bryum subneodamense,Ptychostomum neodamense (Itzigsohn) J.R. Spence,Flora of North America
Bryum teres,Ptychostomum nitidulum (Lindb.) J.R. Spence,Flora of North America
Bryum pallescens,Ptychostomum pallescens (Scheich. ex Schwägr.) J.R. Spence,Flora of North America
Bryum algovicum,Ptychostomum pendulum Hornsch.,Flora of North America
Bryum pseudotriquetrum,Ptychostomum pseudotriquetrum (Hedw.) J.R. Spence & H.P. Ramsay ex Holyoak & N. Pedersen,Flora of North America
Bryum aeneum,Ptychostomum rutilans (Brid.) J.R. Spence,Flora of North America
Bryum rutilans,Ptychostomum rutilans (Brid.) J.R. Spence,Flora of North America
Bryum salinum,Ptychostomum salinum (I. Hagen ex Limpr.) J.R. Spence,Flora of North America
Bryum turbinatum,Ptychostomum turbinatum (Hedw.) Turner,Flora of North America
Bryum weigelii,Ptychostomum weigelii (Spreng.) J.R. Spence,Flora of North America
Bryum wrightii,Ptychostomum wrightii (Sull.) J.R. Spence,Flora of North America
Rhizomnium species,Rhizomnium (Broth.) T.J. Kop.,Flora of North America
Rhizomnium sp.,Rhizomnium (Broth.) T.J. Kop.,Flora of North America
Rhizomnium,Rhizomnium (Broth.) T.J. Kop.,Flora of North America
Rhizomnium andrewsianum,Rhizomnium andrewsianum (Steere) T.J. Kop.,Flora of North America
Rhizomnium glabrescens,Rhizomnium glabrescens (Kindb.) T.J. Kop.,Flora of North America
Rhizmnium gracile,Rhizomnium gracile T.J. Kop.,Flora of North America
Rhizomnium magnifolium,Rhizomnium magnifolium (Horik.) T.J. Kop.,Flora of North America
Rhizomnium nudum,Rhizomnium nudum (E. Britton & R.S. Williams) T.J. Kop.,Flora of North America
Rhizomnium pseudopunctatum,Rhizomnium pseudopunctatum (Bruch & Schimp.) T.J. Kop.,Flora of North America
Rhytidiadelphus loreus,Rhytidiadelphus loreus (Hedw.) Warnst.,Flora of North America
Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus (Hedw.) Warnst.,Flora of North America
Rhytidiadelphus species,Rhytidiopsis Broth.,Flora of North America
Rhytidium species,Rhytidium (Sull.) Kindb.,Flora of North America
Rhytidium,Rhytidium (Sull.) Kindb.,Flora of North America
Rhytidium rugosum,Rhytidium rugosum (Hedw.) Kindb.,Flora of North America
Bryum capillare,Rosulabryum capillare (Hedw.) J. R. Spence,Flora of North America
Saelania glaucescens,Saelania glaucescens (Hedw.) Broth.,Flora of North America
Sanionia species,Sanionia Loeske,Flora of North America
Sanionia sp.,Sanionia Loeske,Flora of North America
Sanionia,Sanionia Loeske,Flora of North America
Sanionia orthothecioides,Sanionia orthothecioides (Lindb.) Loeske,Flora of North America
Sanionia uncinata,Sanionia uncinata (Hedw.) Loeske,Flora of North America
Warnstorfia exannulata,Sarmentypnum exannulatum (Schimp.) Hedenäs,Flora of North America
Sarmenthypnum sarmentosum,Sarmentypnum sarmentosum (Wahlenb.) Tuom. & T.J. Kop.,Flora of North America
Sarmentypnum sarmentosum,Sarmentypnum sarmentosum (Wahlenb.) Tuom. & T.J. Kop.,Flora of North America
Warnstorfia sarmentosa,Sarmentypnum sarmentosum (Wahlenb.) Tuom. & T.J. Kop.,Flora of North America
Schistidium apocarpum,Schistidium apocarpum (Hedw.) Bruch & Schimp.,Flora of North America
Schistidium species,Schistidium Brid.,Flora of North America
Schistidium frigidum,Schistidium frigidum H.H. Blom,Flora of North America
Schistidium rivulare,Schistidium rivulare (Brid.) Podp.,Flora of North America
Schistidium strictum,Schistidium strictum (Turner) T.J. Kop. & Isov.,Flora of North America
Schistidium tenerum,Schistidium tenerum (J.E. Zetterst.) Nyholm,Flora of North America
Brachythecium nelsonii,Sciuro-hypnum latifolium (Kindb.) Ignatov & Huttunen,Flora of North America
Sciuro-hypnum ornellanum,Sciuro-hypnum ornellanum (Molendo) Ignatov & Huttunen,Flora of North America
Brachythecium reflexum,Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen,Flora of North America
Sciuro-hypnum reflexum,Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen,Flora of North America
Hypnum reflexum,Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen,Flora of North America
Scorpidium sp.,Scorpidium (Schimp.) Limpr.,Flora of North America
Limprichtia cossonii,Scorpidium cossonii (Schimp.) Hedenäs,Flora of North America
Scorpidium cossonii,Scorpidium cossonii (Schimp.) Hedenäs,Flora of North America
Scorpidium cossonii (Drepanocladus intermedius),Scorpidium cossonii (Schimp.) Hedenäs,Flora of North America
Limprichtia revolvens,Scorpidium revolvens (Sw.) Hedenäs,Flora of North America
Drepanocladus revolvens,Scorpidium revolvens (Sw.) Hedenäs,Flora of North America
Scorpidium revolvens,Scorpidium revolvens (Sw.) Hedenäs,Flora of North America
Scorpidium (Drepanocladus) revolvens,Scorpidium revolvens (Sw.) Hedenäs,Flora of North America
Scorpidium scorpioides,Scorpidium scorpioides (Hedw.) Limpr.,Flora of North America
Sphagnum alaskense,Sphagnum alaskense R.E. Andrus & Janssens,Flora of North America
Sphagnum angustifolium,Sphagnum angustifolium (C.E.O. Jensen ex Russow) C.E.O. Jensen,Flora of North America
Sphagnum aongstroemii,Sphagnum aongstroemii Hartm.,Flora of North America
Sphagnum balticum,Sphagnum balticum (Russow) C.E.O. Jensen,Flora of North America
Sphagnum capillifolium,Sphagnum capillifolium (Ehrh.) Hedw.,Flora of North America
Sphagnum compactum,Sphagnum compactum Lam. & DC.,Flora of North America
Sphagnum compactus,Sphagnum compactum Lam. & DC.,Flora of North America
Sphagnum contortum,Sphagnum contortum Schultz,Flora of North America
Sphagnum fimbriatum,Sphagnum fimbriatum Wilson,Flora of North America
Sphagnum fuscum,Sphagnum fuscum (Schimp.) Klinggr.,Flora of North America
Sphagnum girgensohnii,Sphagnum girgensohnii Russow,Flora of North America
Sphagnum imbricatum,Sphagnum imbricatum Russow,Flora of North America
Sphagnum jensenii,Sphagnum jensenii H. Lindb.,Flora of North America
Sphagnum jensnii,Sphagnum jensenii H. Lindb.,Flora of North America
Sphagnum species,Sphagnum L.,Flora of North America
Sphagnum (red),Sphagnum L.,Flora of North America
Sphagnum sp. 1,Sphagnum L.,Flora of North America
Sphagnum (green),Sphagnum L.,Flora of North America
Sphagnum (brown),Sphagnum L.,Flora of North America
Sphagnum sp. 4,Sphagnum L.,Flora of North America
Sphagnum sp. 2,Sphagnum L.,Flora of North America
Sphagnum,Sphagnum L.,Flora of North America
Sphagnum lenense,Sphagnum lenense H. Lindb.,Flora of North America
Sphagnum lindbergii,Sphagnum lindbergii Schimp.,Flora of North America
Sphagnum magellanicum,Sphagnum magellanicum Brid.,Flora of North America
Sphagnum divinum (S. magellanicum),Sphagnum magellanicum Brid.,Flora of North America
Sphagnum majus,Sphagnum majus (Russow) C.E.O. Jensen,Flora of North America
Sphagnum obtusum,Sphagnum obtusum Warnst.,Flora of North America
Sphagnum orientale,Sphagnum orientale L.I. Savicz,Flora of North America
Sphagnum papillosum,Sphagnum papillosum Lindb.,Flora of North America
Sphagnum platyphyllum,Sphagnum platyphyllum (Lindb.) Warnst.,Flora of North America
Sphagnum quinquefarium,Sphagnum quinquefarium (Lindb. ex Braithw.) Warnst.,Flora of North America
Sphagnum riparium,Sphagnum riparium Ångstr.,Flora of North America
Sphagnum rubellum,Sphagnum rubellum Wilson,Flora of North America
Sphagnum russowii,Sphagnum russowii Warnst.,Flora of North America
Sphagnum squarrosum,Sphagnum squarrosum Crome,Flora of North America
Sphagnum steerei,Sphagnum steerei R.E. Andrus,Flora of North America
Sphagnum subfulvum,Sphagnum subfulvum Sjörs,Flora of North America
Sphagnum subnitens,Sphagnum subnitens Russow & Warnst.,Flora of North America
Sphagnum subsecundum,Sphagnum subsecundum Nees,Flora of North America
Sphagnum teres,Sphagnum teres (Schimp.) Ångstr.,Flora of North America
Sphagnum warnstorfii,Sphagnum warnstorfii Russow,Flora of North America
Splachnum species,Splachnum Hedw.,Flora of North America
Splachnum sphaericum,Splachnum sphaericum Hedw.,Flora of North America
Splachnum vasculosum,Splachnum vasculosum Hedw.,Flora of North America
Stegonia latifolia,Stegonia latifolia (Schwägr.) Vent. ex Broth.,Flora of North America
Stegonia pilifera,Stegonia latifolia var. pilifera (Brid.) Broth.,Flora of North America
Calliergon stramineum,Straminergon stramineum (Brid.) Hedenäs,Flora of North America
Straminergon stramineum,Straminergon stramineum (Brid.) Hedenäs,Flora of North America
Syntrichia norvegica,Syntrichia norvegica F. Weber,Flora of North America
Syntrichia ruralis,Syntrichia ruralis (Hedw.) F. Weber & D. Mohr,Flora of North America
Takakia ceratophylla,Takakia ceratophylla (Mitt.) Grolle,Flora of North America
Tayloria lingulata,Tayloria lingulata (Dicks.) Lindb.,Flora of North America
Tetraplodon species,Tetraplodon Bruch & Schimp.,Flora of North America
Tetraplodon mnioides,Tetraplodon mnioides (Hedw.) Bruch & Schimp.,Flora of North America
Tetraplodon pallidus,Tetraplodon pallidus I. Hagen,Flora of North America
Tetraplodon paradoxus,Tetraplodon paradoxus (R. Br.) I. Hagen,Flora of North America
Tetraplodon urceolatus,Tetraplodon urceolatus (Hedw.) Bruch & Schimp.,Flora of North America
Thuidium delicatulum v. radicans,Thuidium delicatulum var. radicans (Kindb.) H.A. Crum,Flora of North America
Thuidium recognitum,Thuidium recognitum (Hedw.) Lindb.,Flora of North America
Thuidium species,Thuidium Schimp.,Flora of North America
Timmia austriaca,Timmia austriaca Hedw.,Flora of North America
Timmia sp.,Timmia Hedw.,Flora of North America
Timmia species,Timmia Hedw.,Flora of North America
Timmia megapolitana,Timmia megapolitana Hedw.,Flora of North America
Timmia megapolitana v. bavarica,Timmia megapolitana ssp. bavarica (Hessl.) Brassard,Flora of North America
Timmia megapolitana var. bavarica,Timmia megapolitana ssp. bavarica (Hessl.) Brassard,Flora of North America
Timmia norvegica,Timmia norvegica J.E. Zetterst.,Flora of North America
Tomenthypnum nitens,Tomentypnum nitens (Hedw.) Loeske,Flora of North America
Tomentypnum nitens,Tomentypnum nitens (Hedw.) Loeske,Flora of North America
Tortella species,Tortella (Lindb.) Limpr.,Flora of North America
Tortella fragilis,Tortella fragilis (Hook. & Wilson) Limpr.,Flora of North America
Tortella inclinata,Tortella inclinata (R. Hedw.) Limpr.,Flora of North America
Tortella tortuosa,Tortella tortuosa (Hedw.) Limpr.,Flora of North America
Tortula leucostoma,Tortula leucostoma (R. Br.) Hook. & Grev.,Flora of North America
Tortula mucronifolia,Tortula mucronifolia Schwägr.,Flora of North America
Trematodon brevicollis,Trematodon brevicollis Hoppe & Hornsch. ex Hornsch.,Flora of North America
Trichostomum arcticum,Trichostomum arcticum Kaal.,Flora of North America
Oxystegus tenuirostris,Trichostomum tenuirostre (Hook. & Taylor) Lindb.,Flora of North America
Voitia hyperborea,Voitia hyperborea Grev. & Arn.,Flora of North America
Warnstorfia fluitans,Warnstorfia fluitans (Hedw.) Loeske,Flora of North America
Warnstorfia pseudostraminea,Warnstorfia pseudostraminea (Müll. Hal.) Tuom. & T.J. Kop.,Flora of North America
Achillea millefolium,Achillea millefolium L.,Flora of North America
Aconitum maximum,Aconitum maximum Pall. ex DC.,Flora of North America
Agropyron sp.,Agropyron Gaertn.,Flora of North America
Anaphalis margaritacea,Anaphalis margaritacea (L.) Benth. & Hook. f.,Flora of North America
Arabis eschscholtziana,Arabis eschscholtziana Andrz.,Flora of North America
Artemisia tilesii,Artemisia tilesii Ledeb.,Flora of North America
Artemisia tilesii s. tilesii,Artemisia tilesii Ledeb.,Flora of North America
Artemisia tilesii s.l.,Artemisia tilesii Ledeb.,Flora of North America
Artemisia vulgaris,Artemisia vulgaris L.,Flora of North America
Boechera stricta,Boechera stricta (Graham) Al-Shehbaz,Flora of North America
Bromus aleutensis,Bromus aleutensis Trin. ex Griseb.,Flora of North America
Bromus sp.,Bromus L.,Flora of North America
Bromus,Bromus L.,Flora of North America
Bromopsis pumpelliana,Bromus pumpellianus Scribn.,Flora of North America
Bromus pumpellianus s.l.,Bromus pumpellianus Scribn.,Flora of North America
Calamagrostis nutkaensis,Calamagrostis nutkaensis (J. Presl) Steud.,Flora of North America
Caltha natans,Caltha natans Pall. ex Georgi,Flora of North America
Carex atrofusca,Carex atrofusca Schkuhr,Flora of North America
Carex brunnescens,Carex brunnescens (Pers.) Poir.,Flora of North America
Carex circinata,Carex circinata C.A. Mey.,Flora of North America
Carex species,Carex L.,Flora of North America
Carex sp. 1,Carex L.,Flora of North America
Carex sp.,Carex L.,Flora of North America
Carex spp.,Carex L.,Flora of North America
Carex nigricans,Carex nigricans C.A. Mey.,Flora of North America
Carex rostrata,Carex rostrata Stokes,Flora of North America
Castilleja unalaschcensis,Castilleja unalaschcensis (Cham. & Schltdl.) Malte,Flora of North America
Chamerion angustifolium,Chamaenerion angustifolium (L.) Scop.,Flora of North America
Epilobium angustifolium,Chamaenerion angustifolium (L.) Scop.,Flora of North America
Chamerion angustifolium s. angustifolium,Chamaenerion angustifolium ssp. angustifolium (L.) Scop.,Flora of North America
Chamerion latifolium,Chamaenerion latifolium (L.) Sweet,Flora of North America
Epilobium latifolium,Chamaenerion latifolium (L.) Sweet,Flora of North America
Chamaepericlymenum canadense,Cornus canadensis L.,Flora of North America
Swida sericea,Cornus sericea L.,Flora of North America
Chamaepericlymenum suecicum,Cornus suecica L.,Flora of North America
Cornus sudetica,Cornus suecica L.,Flora of North America
Diphasiastrum alpinum,Diphasiastrum alpinum (L.) Holub,Flora of North America
Diphasiastrum complanatum,Diphasiastrum complanatum (L.) Holub,Flora of North America
Diphasiastrum sitchense,Diphasiastrum sitchense (Rupr.) Holub,Flora of North America
Draba praealta,Draba praealta Greene,Flora of North America
Dryas punctata s. alaskensis,Dryas alaskensis A.E. Porsild,Flora of North America
Dryas alaskensis,Dryas alaskensis A.E. Porsild,Flora of North America
Eleocharis acicularis [s. acicularis,Eleocharis acicularis (L.) Roem. & Schult.,Flora of North America
Eleocharis nitida Fernald,Eleocharis nitida Fernald,Flora of North America
